(+ve word count) ,(-ve word count),(overall polarity),(times change in pol),(largest + cont),(largest - cont),(capital letters),(punctuation)
0,0,0,0,0,0,1,0
0,0,0,0,0,0,3,0
0,0,0,0,0,0,21,1
0,0,0,0,0,0,4,0
0,0,0,0,0,0,10,0
0,0,0,0,0,0,2,0
1,0,2,0,1,0,1,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2
0,0,0,0,0,0,1,0
1,0,2,0,1,0,17,0
1,0,1,0,1,0,10,0
0,0,0,0,0,0,16,0
0,0,0,0,0,0,10,0
1,0,1,0,1,0,3,0
0,0,0,0,0,0,15,0
0,0,0,0,0,0,6,0
0,1,-3,0,0,1,12,0
0,1,-3,0,0,1,11,0
0,0,0,0,0,0,11,0
0,0,0,0,0,0,15,0
0,2,-2,0,0,2,2,0
2,0,3,0,2,0,2,0
0,0,0,0,0,0,6,0
0,0,0,0,0,0,4,0
0,0,0,0,0,0,13,0
0,0,0,0,0,0,7,0
0,0,0,0,0,0,7,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,7,0
0,0,0,0,0,0,2,0
0,0,0,0,0,0,10,0
0,0,0,0,0,0,3,2
1,0,1,0,1,0,7,0
1,0,2,0,1,0,17,0
0,0,0,0,0,0,6,0
2,0,3,0,2,0,2,1
1,0,1,0,1,0,3,0
0,0,0,0,0,0,11,0
0,1,-1,0,0,1,5,0
4,0,7,0,4,0,6,0
0,0,0,0,0,0,7,0
0,0,0,0,0,0,3,0
0,0,0,0,0,0,6,0
1,0,1,0,1,0,2,2
0,0,0,0,0,0,4,0
0,0,0,0,0,0,2,1
0,0,0,0,0,0,8,0
0,1,-1,0,0,1,8,0
0,0,0,0,0,0,3,0
1,0,1,0,1,0,9,0
0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,5,0
0,2,-2,0,0,2,14,0
0,0,0,0,0,0,3,0
0,0,0,0,0,0,3,0
0,0,0,0,0,0,6,0
2,0,2,0,2,0,12,0
1,1,0,1,1,1,10,0
0,0,0,0,0,0,8,1
0,0,0,0,0,0,4,0
2,0,4,0,2,0,4,1
3,0,5,0,3,0,3,0
1,0,1,0,1,0,2,1
0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0
1,0,1,0,1,0,9,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,13,0
3,0,3,0,3,0,6,0
0,0,0,0,0,0,12,0
0,0,0,0,0,0,1,1
1,0,2,0,1,0,3,0
0,0,0,0,0,0,7,0
0,0,0,0,0,0,6,0
0,0,0,0,0,0,7,2
0,0,0,0,0,0,3,0
1,0,1,0,1,0,3,0
0,0,0,0,0,0,11,0
1,1,-1,1,1,1,1,0
0,0,0,0,0,0,0,0
0,1,-2,0,0,1,7,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,0
0,0,0,0,0,0,7,0
1,2,-3,1,1,2,26,0
0,0,0,0,0,0,7,0
0,0,0,0,0,0,22,1
0,0,0,0,0,0,8,0
0,0,0,0,0,0,22,0
0,0,0,0,0,0,4,0
0,0,0,0,0,0,7,0
0,0,0,0,0,0,13,0
0,0,0,0,0,0,1,1
1,1,-1,1,1,1,1,0
0,0,0,0,0,0,3,0
0,1,-3,0,0,1,1,0
0,0,0,0,0,0,5,0
0,0,0,0,0,0,3,0
2,0,3,0,2,0,5,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,4,0
1,0,1,0,1,0,8,0
0,0,0,0,0,0,2,0
0,0,0,0,0,0,4,1
1,0,1,0,1,0,2,0
0,2,-2,0,0,2,12,0
0,2,-2,0,0,2,7,0
0,0,0,0,0,0,3,0
0,0,0,0,0,0,3,0
0,0,0,0,0,0,9,2
0,0,0,0,0,0,1,0
0,2,-2,0,0,2,6,0
2,0,2,0,2,0,2,0
1,0,2,0,1,0,4,0
1,0,1,0,1,0,7,0
1,1,0,1,1,1,1,0
0,0,0,0,0,0,1,0
2,0,4,0,2,0,9,0
1,0,2,0,1,0,3,0
0,2,-3,0,0,2,3,0
0,0,0,0,0,0,20,0
0,0,0,0,0,0,6,0
0,0,0,0,0,0,10,0
0,0,0,0,0,0,5,0
0,0,0,0,0,0,3,0
0,0,0,0,0,0,3,1
0,0,0,0,0,0,7,0
0,0,0,0,0,0,1,0
2,0,3,0,2,0,7,0
0,1,-1,0,0,1,2,1
0,0,0,0,0,0,3,0
1,0,1,0,1,0,5,0
0,0,0,0,0,0,7,0
0,1,-1,0,0,1,1,0
0,1,-1,0,0,1,0,0
0,1,-1,0,0,1,6,0
0,0,0,0,0,0,3,0
2,0,3,0,2,0,9,1
1,0,2,0,1,0,2,0
0,0,0,0,0,0,4,0
0,0,0,0,0,0,6,0
0,0,0,0,0,0,1,0
0,0,0,0,0,0,3,0
0,0,0,0,0,0,3,0
0,0,0,0,0,0,1,0
0,1,-1,0,0,1,10,1
0,0,0,0,0,0,12,0
1,0,2,0,1,0,6,0
0,0,0,0,0,0,6,0
0,0,0,0,0,0,6,0
0,0,0,0,0,0,2,0
0,2,-2,0,0,2,13,3
0,0,0,0,0,0,6,0
0,0,0,0,0,0,3,0
0,0,0,0,0,0,10,0
3,0,3,0,3,0,1,2
0,0,0,0,0,0,5,0
0,0,0,0,0,0,4,0
0,0,0,0,0,0,4,0
1,0,2,0,1,0,5,0
0,0,0,0,0,0,2,0
1,0,2,0,1,0,2,1
0,0,0,0,0,0,12,0
2,0,2,0,2,0,4,0
